song_id,platform_id,released_year,language,number_of_comments
6712,R87632,2005,,1090
8901,V3925836,2005,eng,1272
8914,X10306358,2011,eng,1820
1611,Q784911,2006,,3381
8288,P9962040,2011,eng,1641
5388,S7973,1999,,2210
1545,W776407,1928,en-US,866
148,U2865,1999,eng,8011
7525,W7189177,2010,eng,1196
5796,V36076,2006,en-US,461
2155,V22076,2002,en-US,1279
9728,W27209407,2016,eng,895
6652,Y8949,2005,eng,352
9025,R5942,2000,eng,1025
4011,R28233082,2016,eng,2987
4210,T112754,2001,eng,1423
4074,Q19288321,2014,eng,2030
2060,V13588356,2012,,4612
7961,R84552,2000,en-US,182
7566,Y5941079,2009,en-US,1339
7533,S94813,2002,en-US,348
7271,P144800,2007,en-US,1611
8176,U8745,1998,eng,821
6050,T116054,2000,eng,1076
6193,W6660747,2010,eng,888
9079,V450836,1991,,251
4270,U243685,1945,en-US,686
3917,X74928,1998,eng,235
7946,V39926,1990,eng,790
8559,Q1015311,1999,eng,119
7599,T179264,2006,,1895
5576,Y13241659,2013,eng,1997
7827,Q126151,1986,en-US,645
2450,X16151178,2012,eng,8606
2218,T17333324,2013,eng,5950
9549,V18266,1532,eng,334
4108,W85987,2000,,1123
7391,T13415554,2012,eng,1358
2645,T43884,2006,,481
7504,W766917,1942,eng,444
417,P40440,2006,eng,19432
4293,R11922,2002,eng,1393
4568,U13481275,2014,eng,4104
5656,U17707605,2013,eng,2812
2330,Y16136959,2012,en-GB,1869
8112,Y763429,2007,eng,431
6583,V27220736,2016,eng,2407
6490,W8100267,2010,en-US,2130
3354,Y9542439,2011,eng,2776
3383,T9086994,2010,por,2426
4574,P156530,2004,eng,550
7284,U2020935,2008,en-US,1688
1198,X22822858,2015,eng,15267
2922,Y13223349,2012,eng,1447
156,V42156,2004,eng,11567
3863,X17828418,2013,eng,2460
9173,X27298,2002,en-US,1240
3101,R269322,1845,en-US,288
1687,T53764,1977,en-GB,165
5222,U18404285,2014,eng,1607
4501,S244383,2004,en-GB,504
73,Q1656001,2008,en-US,39778
2547,Y79379,2001,eng,940
2640,R216442,1992,en-US,806
4563,V27209486,2016,,2283
5562,P13330370,2012,eng,2555
6379,V10869746,2011,eng,1719
3053,S19004663,2014,eng,4094
8494,U17970255,2013,eng,1615
6109,W23217,2006,eng,1042
3300,R13154952,2012,,3872
1395,Y18498569,2014,eng,8777
106,W9418327,2011,eng,35142
2764,Q6342491,2009,en-US,4018
6312,R6735082,2009,ger,398
9884,P97390,1825,rus,36
3441,W17378527,2016,eng,9014
6576,P432020,1990,eng,87
7,W5907,1937,en-US,37653
5044,X140078,2006,en-US,1186
3137,Y34919,1993,eng,162
2517,T19494,1963,eng,2712
9276,V25666046,2016,eng,1861
9161,U1087205,2004,eng,179
8936,S13153693,2015,,1433
6985,T4499214,2000,eng,1786
4886,V773606,1953,eng,364
4141,R6631792,2009,eng,2541
9925,W86737,2002,eng,555
5671,T3342764,2009,eng,575
9862,P4772110,2009,eng,1252
2068,V25346,1997,,3748
4211,X12722468,2012,eng,933
766,T23754,1989,eng,4388
4435,Y51799,1353,eng,782
5806,T7785194,2010,en-US,859
5810,V24766,2004,eng,1951
636,V11260526,2011,eng,134
6413,X2924318,2008,eng,2608
999,Q37741,1972,eng,2081
9144,Q85321,1997,,385
3617,W6600137,2010,eng,1470
3510,U30245,2003,en-US,770
7775,W159177,1984,eng,249
2506,X3758,1953,eng,3074
5180,X2368,1981,en-US,1073
6548,S11104933,2011,,836
4894,S582533,1978,eng,320
9435,Y1153709,1983,eng,171
8817,T95144,1970,eng,692
9888,W31087,1983,eng,205
195,W2728527,2008,eng,39853
4159,V3400816,2009,eng,2097
3558,T7600924,2010,eng,7840
8524,R270032,1952,,685
8538,X71458,1999,fre,1091
9391,V40136,2005,,734
4086,X17204568,2012,en-US,1875
843,V13584236,2012,,6275
2147,Q2586771,2008,en-US,6018
8837,P3760,1956,eng,643
9085,U581125,1956,,599
3422,Q16070521,2012,eng,3106
6357,W10517947,2011,en-US,646
7337,R13589182,2012,,946
5590,Q181601,2000,,279
7269,X672948,1945,,313
637,X76778,1950,en-US,5204
2570,S17262203,2013,eng,4289
6475,P6750,1987,,1229
3746,P12820360,2012,eng,6929
123,X5358,1991,eng,3139
3189,S14383,2006,en-CA,1388
9152,W531197,2003,en-US,702
9899,Q25813921,2016,eng,1634
1979,X15985348,2013,eng,9201
5112,U2880715,2008,eng,980
9569,Q32075671,2017,eng,9038
2223,Q295961,1975,,433
6303,Q18105011,2013,eng,2087
1200,Q10803121,2011,eng,5303
3978,P41810,1983,eng,840
2270,S5453,2007,eng,1702
5223,S12925063,2013,eng,1885
7696,P821000,1927,eng,287
2777,V13414676,2012,eng,6644
4937,S903,1967,eng,1140
6452,T1753714,2003,eng,148
8423,T47944,2001,en-US,431
8957,S6055063,2009,eng,1214
5415,R61942,1968,,424
1461,S194373,1894,eng,1399
2595,W136167,1973,eng,755
8386,U92375,2002,en-US,652
8227,U17934385,2014,eng,1435
9660,R107172,2004,eng,169
2629,P18243700,2014,eng,7538
975,R105992,1974,en-GB,2510
2067,U15781725,2013,eng,4357
1251,V6468666,2010,en-GB,3418
7027,T102954,1999,,192
271,S18373,1966,en-US,11328
4223,P6368610,2010,en-US,1338
5253,U525995,1981,en-US,1221
4214,S785453,2001,eng,2059
1880,W50027,1990,eng,1571
1464,W991197,2003,en-US,5335
6688,W10507,2000,en-US,760
4077,Q11227041,2011,en-GB,3132
9241,W381787,1992,,198
3920,R4692,1986,eng,1369
6162,V110396,2004,eng,1092
4639,S174403,1999,en-US,932
7064,U108385,2000,eng,562
3754,V30016,1957,en-US,913
9852,V31266,1971,,153
8896,W82397,1595,,628
3661,U2615,1997,,681
8290,Q18931,2003,en-US,1051
8724,P2187270,2008,eng,1654
9542,Y91439,1985,en-US,442
9684,T6311614,2009,en-US,788
5035,P9530,2004,eng,1766
6426,R9762,2002,,612
139,W9460487,2011,en-US,53569
3636,W2479827,2008,eng,550
8272,Q50001,1974,,73
2840,P27071490,2016,eng,7846
3431,X32258,2004,en-US,1349
5624,U52415,1996,eng,710
4117,U99315,2004,eng,1680
1512,R18478222,1853,eng,4918
9944,X16158498,2013,eng,839
7318,T383514,2007,en-US,2107
5645,R20958632,2015,eng,4304
7192,W10429037,2011,en-US,906
8741,S16248223,2013,eng,2497
1886,Q95431,1996,eng,1348
6690,Y5369,2003,,881
3280,W126507,2003,eng,1122
2127,Q770051,2000,en-US,1306
9833,W10111087,2011,en-US,1234
9347,Y289029,1999,eng,586
7232,Q70241,1973,en-CA,925
2078,P19330,1986,,350
1346,V944076,2008,eng,2853
1948,Y24120519,2015,eng,7936
1751,U114145,1994,en-US,941
9581,U1372055,2006,,338
6811,S17285883,2014,eng,1695
12,W13335037,2011,eng,101023
587,V256566,2002,eng,7019
9859,Q26771521,2015,eng,877
6776,U25295,1988,en-US,138
71,P18490,1818,eng,19993
4782,R4935682,2009,eng,746
6416,W18775297,2014,eng,2830
3762,W7797,1961,eng,471
641,Y84369,1956,eng,4156
6036,X13525938,2012,eng,2184
6694,W25613617,2016,eng,1502
4126,V7171876,2010,eng,1448
4171,R103342,1999,eng,2655
7703,X29975458,2016,eng,1739
7280,W12444297,2015,eng,2806
2343,W108077,1995,eng,3568
1435,P228560,1979,eng,2025
9220,P300650,1993,,1804
8532,P2530,1982,eng,589
7953,Q7775841,2010,,795
6832,R56912,2006,en-US,256
4634,T16634,1943,eng,1069
7839,U33335,2001,,358
1305,Y297249,1942,en-US,2391
6542,V14165516,2012,eng,1242
7315,V10897866,2011,en-US,993
8002,W1629007,2008,en-US,1314
5608,U7202825,2009,eng,1042
3844,P347610,1998,en-US,1786
2510,V7148256,2010,eng,3912
3664,Q1821571,2007,eng,853
5969,P80630,2005,eng,1076
9956,U31975,2005,eng,261
2990,Q325421,1920,,554
1682,Q10079321,2011,en-US,5446
4987,U23301545,2014,eng,3642
3587,S21094993,2013,eng,3240
3156,Q11691,2002,eng,2965
3077,R732562,1798,eng,713
2790,W3147367,2008,en-US,1378
7780,P5148720,2009,en-GB,848
2297,V14706,1808,eng,815
5288,Q9265891,2011,en-US,2180
8263,W18387597,2013,ara,1218
2083,S476543,2008,eng,2898
5704,P4630,1937,eng,1097
6510,S21683,1999,,671
1221,U22695,1998,,3424
8246,T158944,1979,,120
3678,S1362193,2005,ind,2524
3403,T59924,1971,en-US,2100
2863,T93794,2000,eng,1501
1422,T106134,1993,eng,1725
85,S370493,1964,eng,14368
4029,Q16240761,2012,eng,3032
459,T18774964,2012,eng,34386
1509,X17728,1905,eng,3489
8945,Y32529,2001,en-US,513
6022,T138134,1820,eng,191
3836,X74998,1943,eng,520
7266,Q6671,1977,eng,840
4147,W11709037,2011,en-US,1402
8154,T28734,1990,eng,270
4954,Y11051889,2011,,1608
5580,T24494,1989,eng,187
9846,W1099097,1968,,356
5498,U28695,1996,eng,705
6667,R7828882,2010,en-US,1330
489,W2547,1923,eng,6263
4845,U7090785,2007,eng,863
1950,X102458,1994,eng,618
2623,V13836,1992,en-US,1473
5846,Q4789801,2009,eng,609
6310,X15984268,2013,eng,2135
3007,R24472,2007,eng,4089
8449,V6751356,2009,en-US,1935
6317,P110890,2006,en-US,1689
4475,Y53639,1946,eng,2393
4507,S156533,2004,eng,418
4884,Y10875239,2011,,1871
1789,U4325,2000,eng,3813
2234,R17884042,2014,eng,4309
2174,Y2279,1992,en-US,1767
2134,S2722413,2008,en-US,3117
4253,V7036,2002,eng,1265
7051,U18138755,2014,,1561
2650,U2265,1999,en-US,1881
8257,P770040,2007,en-US,532
5898,T299384,1986,eng,80
6758,S761023,1984,eng,411
1355,T13027304,2012,en-US,421
1296,P15860,2004,eng,2686
2314,Y10979,1932,en-US,1948
6378,V217376,2000,eng,197
5565,V8966,2002,,404
2521,T4004,1987,eng,1451
2745,W6537,1995,eng,636
2005,T10950924,2011,eng,7099
5205,P6277410,2009,eng,1395
7012,Y175319,1958,en-US,219
1871,Q37301,1989,en-US,1574
5020,P39980,2000,eng,1635
9184,S6916963,2010,en-US,933
4391,P80570,2005,en-US,1181
5906,T104734,1996,,1455
9960,P127970,2001,,1849
4289,U79705,1999,en-US,379
8453,Y22131009,2014,en-US,1006
7448,S30226723,2017,eng,5193
6014,S805023,1982,,844
3881,U203805,1988,eng,64
2061,Y17333319,2013,eng,8028
1810,Y23848559,2015,eng,8498
4508,V15096,2001,eng,2091
4733,X385228,1859,eng,566
311,R3412,1977,eng,4556
1927,T401514,1974,eng,940
4453,Q313631,1977,eng,393
2520,T6443834,2009,jpn,1280
9268,Y52629,1991,eng,63
2214,V21436,1997,en-GB,1059
9261,V24044596,2015,,2158
8887,P15810910,2013,en-CA,915
1245,T5354,2000,,1511
5617,V47076,2005,eng,2158
949,U13895,1993,en-US,1864
3287,U7015635,2008,en-US,3044
7292,V81176,2003,en-US,356
5458,Y372319,1886,eng,544
5007,X6528,2005,en-US,881
7958,X11889938,2012,en-US,896
1032,R44652,2006,eng,8486
4308,Q59821,2005,en-US,747
7971,U373925,1974,eng,56
2851,U667985,2001,eng,257
2921,P395090,1965,eng,1072
9407,Q42691,1984,eng,389
9583,S8487363,2010,en-US,873
765,W92057,1965,eng,3951
409,U9375,1987,,4439
4364,S96593,2004,en-US,632
2291,W355917,2006,en-US,1472
8916,W765427,1590,eng,287
3903,W38787,1955,eng,1716
4627,X30068,2006,en-US,944
9064,Y23719479,2015,en-CA,1590
2945,Y10762469,2011,en-US,5095
2717,R23745132,2015,en-GB,2745
3939,Q2693801,1962,eng,96
1550,R6574102,2010,en-US,4814
9786,P13035050,2012,eng,1131
4127,X123598,1999,en-US,559
9235,X16148938,2012,eng,451
7421,V11595276,2012,en-US,2101
4276,W136637,2004,en-GB,977
9864,R88442,2001,en-GB,837
1327,P77270,1894,eng,2330
5247,W5367,1999,eng,788
5486,P988950,2004,en-US,982
4022,R1713912,2008,eng,1708
5745,Q120231,2002,eng,106
6669,U66655,1986,,496
6484,P24870,1998,eng,266
5233,U22674105,2015,eng,2377
2390,V18712886,2014,eng,7889
9444,V10008056,2010,dan,995
4545,R13202092,2012,en-US,1622
4798,V1279686,2007,en-US,1169
4442,Y18134249,2013,eng,3787
8997,U8755555,2009,eng,1208
8668,S13546173,2012,eng,1014
6440,Y99219,2002,eng,424
6979,S60223,2003,eng,656
7381,Y17831619,2013,en-US,1331
5537,R5752,2002,eng,643
3429,U18007535,2014,eng,4671
9009,V13580846,2012,eng,1509
3231,T8379374,2010,eng,3291
6042,P110090,2000,en-US,839
6246,U8447255,2011,eng,720
5482,U24475,2006,en-US,805
3162,S13133,2007,eng,2180
9606,Q31741,1972,,531
8082,R7476122,2010,eng,928
5240,R2033352,2005,dan,1561
1037,Q5351,1998,eng,1912
8134,W478657,2005,en-US,531
9602,V76706,1993,en-GB,788
3039,U17565845,2014,eng,5879
3127,S50033,1957,eng,3226
3336,Y2295829,2008,eng,1227
7423,Q2173611,2008,en-US,1477
4278,V114166,2006,en-US,2570
5987,V18819296,2013,eng,1277
3825,V16002136,2013,eng,1781
4910,X8476248,2011,en-GB,1753
8243,X158988,2007,eng,399
8074,T21324,2006,eng,519
9193,P697210,2007,eng,1216
2935,P537070,2007,,1624
5095,T228534,1997,eng,1452
7240,V27824826,2017,eng,3682
5934,U102525,1991,eng,598
5688,X13083008,2012,eng,2033
1697,S11413,2004,en-US,1777
4062,U426825,1970,eng,321
4021,W10959277,2011,en-US,5271
8842,R23232,2004,en-US,1161
4041,Y26891429,2016,eng,3555
1959,P6048530,2009,en-US,3795
5002,W10400407,2011,ara,2021
7762,Q6692041,2006,,2386
899,U53835,1920,eng,5051
4637,T16117804,2013,eng,1738
7878,T417524,1977,eng,1009
9056,X7234828,2010,en-US,1293
8746,S294613,1960,,73
2835,Y937249,2001,en-US,709
1002,T14290364,2013,eng,12759
4332,S261243,-411,en-US,584
8006,S22674493,2015,,806
8949,R32812,1320,eng,397
6365,Y17833099,2013,eng,1900
755,R386372,1987,eng,3081
6119,Y79649,1895,eng,411
3941,P68520,1995,eng,1166
759,W8709527,2011,en-US,7698
2207,P10805160,2012,eng,5418
1047,W11594337,2012,eng,9991
2004,V5306,1962,eng,3737
4420,R18505832,2014,eng,3121
5578,R28251002,2016,eng,4050
2647,X10058,2000,,1365
7326,Q91201,1988,eng,414
8312,V30636,1947,eng,456
4949,W2659997,2008,,1882
6251,W1897,1990,,499
5165,R827412,2005,eng,1561
6247,U13545345,2012,,678
5861,S16363,1938,eng,967
8804,S1667423,2007,ind,781
5006,T114184,2005,eng,804
6184,U18825,1984,en-GB,854
4685,V12872236,2012,eng,3213
4015,U113205,1925,eng,1103
5615,R84022,1998,eng,976
7220,P10947600,2011,eng,1489
6882,S6966823,2010,eng,2107
4681,P144790,1998,eng,966
5697,U8428195,2011,en-US,4592
8480,V4212386,2008,ind,640
2378,S712313,2007,en-US,2599
8908,Y85679,1941,eng,252
6744,U239105,1998,en-US,138
4381,U28763485,2016,eng,8878
2042,V15851746,2012,en-US,4604
5944,X15801668,2013,eng,2507
4271,U13235,1884,,30
887,S77013,1930,eng,5508
8259,S165053,2004,,57
2374,X292408,1971,eng,3560
4124,U16435,2004,eng,1578
3492,T110694,1991,eng,283
2022,R857502,1912,eng,187
9745,V15954546,2012,eng,778
2036,S7015403,2010,eng,3712
1260,P7510,2002,eng,1628
7473,V366346,2002,eng,559
3946,V6411016,2009,eng,2664
7698,X16045078,2013,en-US,1480
119,W38447,1985,eng,35925
5799,P759900,2003,en-US,619
6078,S81903,1975,eng,1080
8892,X33288638,2016,eng,1507
3997,W6697,1992,,901
5749,X3373198,2008,eng,833
4157,Y15019,1996,eng,226
785,Y32669,1989,eng,574
3575,T1728744,1974,eng,69
2195,U2325825,2007,eng,2729
2338,S89763,2000,eng,4620
9904,V18680106,2013,eng,1428
4249,Y588369,2006,eng,1616
9605,T139004,1856,,62
9466,T13519844,2012,eng,850
2072,W270807,2006,en-US,3379
1743,U14061955,2013,eng,9818
5166,R2833172,2008,en-US,1500
3507,W17333227,2013,eng,2884
6525,R13560262,2012,en-US,1539
6616,X12792658,2013,en-US,2037
8937,P227570,1994,eng,204
456,P12220,1947,eng,2841
8466,X7824768,2010,ara,1427
9450,X20662728,2014,eng,1810
8119,V18163646,2014,,2165
5715,Y1178039,2007,en-US,789
871,X7091488,2010,en-US,5325
655,T15812814,2011,eng,14020
8435,R71622,2005,eng,1476
2782,V22416,1998,eng,868
4652,T15981894,2012,eng,1788
792,W22917,1812,eng,1851
2278,X19448,2002,eng,1821
2679,S227593,2002,eng,2273
4791,P277190,2004,en-US,818
6763,S74033,2007,en-US,791
6719,P2754510,2008,eng,1408
1865,S129603,1984,eng,1252
3290,Q16044981,2013,eng,3221
7373,T23766634,2017,eng,12210
6006,T94804,1979,eng,218
6992,W7853137,2010,eng,1837
1194,S6578293,2009,en-US,4248
4914,R239102,1992,en-GB,160
7889,S4102763,2009,en-US,1030
3705,X409918,2004,eng,1155
9743,V3446,1978,eng,597
9768,X52318,1980,eng,1003
9669,P18453110,2014,eng,1673
3456,V80566,2007,eng,4245
8361,U5845,1979,eng,677
5541,R303472,2001,en-US,1194
5160,V291356,1991,eng,204
5706,X18363068,2013,ara,1675
6540,X7491418,2010,eng,1421
2955,T13570854,2013,eng,5707
564,T248704,2006,en-US,8461
6400,U676555,2000,eng,188
569,R13152,2005,eng,8606
2729,R5932,1924,eng,1505
8108,T27419654,2016,en-CA,1244
2825,Q55401,2000,eng,1433
6662,Y14469,1977,,110
1775,Y581409,1975,eng,865
5637,T159964,-500,eng,616
9892,T2494204,2008,eng,649
7873,Q685401,2014,,246
2536,Y70539,1982,eng,812
8044,P28686840,2016,eng,4068
548,U162085,2006,en-US,8160
4376,W1220507,2007,ara,1688
7006,U16335,1928,eng,1032
355,W3236307,2008,en-CA,19081
7014,U102955,2000,eng,172
3378,Y13413589,2013,eng,3077
3140,S9943,1997,en-US,1083
1560,U8564935,2010,eng,6341
3138,P65840,1936,,1346
3095,Y6339989,2009,,182
1067,R6422,1998,en-US,2527
2722,X1325218,1981,eng,1512
1212,P16176440,2013,eng,9664
9548,U30839185,2016,en-US,2179
5951,T938544,2008,en-US,540
7317,U1048645,2003,eng,1099
6917,Y70509,2006,eng,1573
4566,R771332,1981,en-US,1232
2511,R6642402,2010,eng,2103
9166,P6953500,2010,eng,2290
3584,X429138,1993,eng,1125
7341,S26123,1990,en-GB,540
1222,Y138959,1945,en-US,2012
183,W7171637,2010,eng,24385
1103,X80568,2001,,2238
5111,W31140847,2016,eng,2801
3096,W673657,1985,en-US,425
951,S22283,1999,en-US,3078
1051,R33512,1998,eng,7065
4505,U22717015,2015,eng,2745
3874,X30228,2006,en-US,842
7077,W15096257,2012,eng,1185
8840,Y349929,1929,eng,844
7806,W181077,1977,,1195
5756,Q270521,1989,,273
7273,R15771862,2013,eng,2128
3087,T17199504,2013,eng,6748
9399,W6261477,2009,en-US,1595
5780,Q1881621,2006,,209
1930,Y59829,2001,eng,1449
4715,Q44361,2005,,1022
394,V2802316,2008,en-US,10074
4517,X9598,1982,eng,637
3251,R5664022,1974,ara,2545
6561,W37297,1991,en-US,499
6271,S10428803,2012,eng,1944
1635,U766955,1999,eng,2220
1108,V46306,1835,eng,544
9483,V77866,2002,en-GB,1045
6330,X243298,1993,,89
4434,W858037,1958,en-US,303
8327,Y7116709,2010,en-GB,1089
8375,X2068,1995,en-US,222
3607,U13644055,2014,eng,5724
3822,R23705512,2015,eng,4659
8345,V12988016,2012,eng,1410
9635,R8765012,2011,en-US,662
2386,R9522,2000,fre,301
964,P30,1973,eng,1565
4969,Q7147831,2009,nor,2345
1000,W10194157,2012,eng,17829
1165,P17314430,2013,eng,7550
2621,P10890,1999,en-CA,2197
2514,Y15719,2003,eng,1344
3358,X841628,1986,eng,452
2141,Y13454149,2012,eng,3380
9343,P1111600,1990,,129
7665,S7010683,2010,en-US,793
8561,P15954540,2011,eng,868
9485,T15776904,2010,eng,796
126,U234225,1965,eng,13239
6233,X227778,2003,,488
3382,Q84151,2004,eng,1368
3812,P7468160,2010,eng,4213
6062,Q18774981,2014,eng,1113
1876,X10428708,2011,eng,3274
4796,T29254,1971,en-US,598
7344,V155106,1966,eng,107
558,W140077,2004,eng,5327
7859,W141077,1889,,718
734,X546018,1976,en-US,2644
8472,V208036,-330,,129
4526,W46227,1939,eng,1398
2515,R26722,2006,en-US,775
2947,T23454,1985,eng,526
4765,P224410,2005,,37
3444,S448873,1996,eng,4973
2719,S1524173,2006,eng,1327
7890,R33732,1996,eng,964
5931,S20563,1859,,659
6030,T785454,1956,en-US,847
2573,W5357,2001,eng,3496
7578,W239107,2001,eng,105
9737,Q73051,1990,eng,135
2881,V116296,2007,en-US,1490
4462,W845977,1992,,704
2548,V180116,1992,eng,831
6205,Q16114861,2013,eng,2330
2058,Y23604559,2013,eng,9989
7324,P8269450,2009,eng,224
3413,Q36071,1993,eng,340
3371,P20423680,2014,eng,2332
7523,W31538647,2016,eng,1339
3387,V4796,1961,eng,1538
6210,V107776,1999,en-US,991
3367,X113138,1997,eng,1345
6295,Q109901,2004,eng,2456
368,T119324,1997,eng,6139
5289,Y18142329,2013,eng,2028
1090,P24800,2000,eng,8113
9350,V56466,2002,eng,1330
235,T17802724,2013,eng,27610
8147,Q17835351,2013,eng,780
855,U1625,1601,eng,2615
8205,Y29991719,2016,eng,2374
8336,R74862,1965,per,395
3655,V11071466,2012,eng,4483
728,Q759611,1967,eng,2731
7322,Q15729261,2012,eng,1199
2806,R9912,1987,eng,1102
4072,X12394068,2012,eng,3539
4400,X31098,2006,eng,1007
5400,W191117,2006,en-US,802
5724,U7124475,2010,eng,648
6220,S835623,1997,eng,426
1982,P17934530,2014,eng,7109
2260,W270067,1978,en-US,232
8240,W4769247,2009,eng,738
2941,Y16429619,2014,eng,7571
2002,V18386,1886,eng,2623
5792,U28635,1997,eng,939
7926,T2998814,2009,eng,1542
1915,P17800,1988,eng,2561
612,T5094,1987,eng,5293
7031,Y2983489,2008,,901
6363,V7841446,2011,en-US,806
4917,V7144426,2010,eng,200
9829,W13151637,2010,ara,964
108,V9416,2000,eng,11170
7519,P96980,1981,,164
8001,P21956060,2014,eng,2347
5395,U17645,2005,en-US,2512
7228,Y13057939,2012,,2134
8658,S15818333,2012,eng,2129
7015,P6356190,2008,eng,161
6766,X107778,1996,eng,756
5935,Y221059,2006,en-US,923
6180,R30512,1993,,669
8487,Y18752959,2014,eng,790
8618,S530793,1992,,350
9285,Y16136599,2014,eng,1294
4385,U6257535,2009,eng,2442
3442,W13152287,2012,eng,3863
504,R11422,1991,eng,9147
471,R45032,1814,eng,7046
7669,P514210,1957,eng,375
7282,V104086,1984,en-US,1003
7460,X8349348,2010,eng,576
6955,S2336803,2008,eng,669
7420,X284698,2003,en-US,175
9821,P245700,2003,,43
7847,Y18870159,2014,eng,1518
6381,Q26131641,2016,en-GB,2195
1133,S11713,1992,,3308
7023,Y381489,2006,eng,978
3629,V23686,1988,eng,259
7142,W513367,1984,eng,335
1312,R11762,1985,eng,3908
9573,V12075886,2012,en-US,924
2118,Y15704459,2015,eng,4426
5501,Q7134201,2010,eng,1789
8648,X232958,2005,,290
7862,Y276289,1976,eng,27
7579,T29744,1959,,693
576,P19380,1759,eng,5504
3125,T37304,1993,eng,473
545,T144974,1922,eng,2714
654,R7905092,2010,en-US,12909
9473,Y53809,1994,spa,592
8768,U892295,1967,,66
9878,T13426114,2012,eng,803
3412,P6870,1997,eng,1722
5718,S1603923,2002,,144
2249,Q25387351,2015,,4701
4756,V106646,1991,eng,602
8503,P80890,1901,eng,674
9022,Y239239,1995,eng,1520
9351,S17973653,2013,eng,1873
984,W15997,1667,eng,2645
9560,S5292173,2009,,247
366,S2203,2001,eng,5334
604,S68783,1993,eng,3532
6577,P15849910,2014,eng,1588
3533,W78987,1982,en-US,602
3341,V18739426,2016,eng,2379
5972,S20413,1885,eng,454
988,P8253920,2010,en-US,2356
1516,R242472,2007,eng,3368
4357,T30324,1997,en-US,2055
2967,X9838,2002,en-US,2664
1477,R31242,1853,eng,3125
9176,P44360,2007,en-US,612
7623,P121410,1986,en-US,599
98,X5060378,2006,eng,31423
2931,W433567,1884,en-US,2864
1964,X68488,2001,eng,1297
6703,R12755792,2011,,1716
5447,R13628812,2012,eng,3447
6578,P45110,2005,,692
7075,Q159061,1992,eng,437
4971,X18728,1994,eng,1107
2659,T12513614,2011,eng,5525
1620,W14817,1977,eng,2181
7451,P9266810,2011,en-US,1697
1732,T209194,1924,eng,1072
6407,P68380,1985,,426
5444,R45432,2004,en-US,1021
7482,V22367526,2015,eng,1810
1890,V8709526,2013,eng,5633
9814,W513207,1994,eng,131
1916,Y232109,1965,en-US,1419
1244,X5152478,2009,eng,7981
7168,Y7198269,2010,eng,1304
7203,S11227043,2011,eng,1531
2069,Y23219,2006,eng,1899
5675,S180463,2000,,1681
9116,P31300,1964,eng,787
3554,X17880708,2013,eng,2751
349,P11590,1975,en-GB,6167
5195,R693172,1984,,406
3062,P2527900,2008,eng,1478
6048,T172764,2006,eng,1193
7001,P6452760,2009,eng,1786
2572,V19596,2003,en-US,514
5532,S24529123,2016,eng,4929
